Prueba de cabecera;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;MagX;MagY;MagZ
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.7;
T+100ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.5; 0.9 | Mag(uT): -51.7;
T+200ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.7;
T+300ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 2.2; 0.9 | Mag(uT): -51.2;
T+400ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.8 | Mag(uT): -51.5;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.8 | Mag(uT): -51.5;
T+600ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 0.8 | Mag(uT): -51.2;
T+700ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.5; 0.9 | Mag(uT): -51.3;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 0.6 | Mag(uT): -51.6;
T+900ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.3;
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.5; 0.9 | Mag(uT): -51.2;
T+100ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 1.1 | Mag(uT): -51.2;
T+200ms | Acc(g): -0.05; 0.99; -0.00 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.0;
T+300ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.8 | Mag(uT): -51.0;
T+400ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 1.0 | Mag(uT): -50.9;
T+500ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 3.2; 0.9 | Mag(uT): -51.0;
T+600ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.3; 0.8 | Mag(uT): -51.4;
T+700ms | Acc(g): -0.05; 0.99; -0.01 | Gyr(dps): 3.0; 0.8 | Mag(uT): -51.4;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.1; 1.0 | Mag(uT): -51.5;
T+900ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.9; 0.9 | Mag(uT): -50.9;
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.3; 0.8 | Mag(uT): -51.2;
T+100ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 0.9 | Mag(uT): -51.1;
T+200ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.6;
T+300ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.5; 0.9 | Mag(uT): -51.2;
T+400ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.8;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.7 | Mag(uT): -51.7;
T+600ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.4; 0.9 | Mag(uT): -50.9;
T+700ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.3;
T+800ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.6; 0.9 | Mag(uT): -51.6;
T+900ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 0.9 | Mag(uT): -50.8;
--- Reporte Segundo IMU ---;
T+0ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.8; 0.8 | Mag(uT): -51.7;
T+100ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.3; 0.9 | Mag(uT): -51.8;
T+200ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.3;
T+300ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.3; 1.0 | Mag(uT): -51.1;
T+400ms | Acc(g): -0.04; 0.99; -0.00 | Gyr(dps): 2.7; 0.9 | Mag(uT): -51.3;
T+500ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 1.0 | Mag(uT): -51.7;
T+600ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.3; 1.0 | Mag(uT): -51.8;
T+700ms | Acc(g): -0.04; 0.99; -0.01 | Gyr(dps): 2.7; 1.0 | Mag(uT): -51.4;
