AccX;AccY;AccZ;GyrX;GyrY;GyrZ;MagX;MagY;MagZ
-0.38;-0.92;0.16;2.69;0.73;0.49;-33.92;-7.69;55.18
-0.38;-0.91;0.16;2.56;0.67;0.37;-33.54;-7.70;55.00
-0.38;-0.91;0.16;2.38;0.85;0.49;-33.37;-7.63;54.75
-0.38;-0.91;0.16;2.38;0.85;0.31;-33.69;-7.43;55.15
-0.38;-0.92;0.16;2.62;0.61;0.43;-34.14;-7.89;55.68
-0.17;-1.04;0.04;-91.74;79.41;-20.45;-36.02;-3.41;55.80
-0.72;-1.06;0.98;-87.95;-156.62;-101.68;-34.89;2.60;60.57
-1.44;-0.26;1.11;44.49;519.04;250.49;-22.36;10.79;64.23
-0.22;-1.01;0.90;65.98;243.96;227.36;-53.61;30.63;33.08
0.40;-0.20;-0.15;116.70;91.80;185.06;-51.23;48.84;17.66
0.70;-0.65;-0.03;-87.77;-4.76;-22.89;-47.16;54.75;12.51
0.63;-0.54;1.32;62.62;3.42;91.00;-46.91;54.37;13.39
0.89;-0.13;-0.96;82.28;136.47;114.99;-42.19;58.26;17.10
0.85;-0.31;0.04;-28.02;-145.32;-54.38;-38.87;60.84;17.25
0.88;-0.39;0.17;-3.42;-2.75;0.67;-37.68;60.74;20.76
0.84;-0.33;0.06;2.20;9.70;-0.06;-36.94;60.07;21.48
0.90;-0.38;-0.02;0.79;17.76;4.39;-37.06;60.85;20.78
0.91;-0.38;0.02;-4.88;5.43;0.06;-37.23;61.47;20.02
0.96;-0.29;-1.06;-98.02;-121.09;-38.57;-37.52;61.50;18.26
-0.09;-0.32;0.96;-106.87;-356.45;10.01;-34.34;62.55;24.49
-0.31;-0.03;2.45;54.38;273.50;-16.66;-28.26;66.37;29.88
-0.26;0.21;-1.40;-70.31;494.57;-44.43;-38.13;62.74;14.16
-0.24;-0.49;-1.18;-76.78;-450.38;214.23;-42.08;55.16;-3.94
-1.20;2.23;3.33;-25.39;-476.99;236.45;-30.64;69.49;21.12
-0.40;-0.08;1.00;163.39;445.07;-147.09;-32.75;67.55;22.78
1.02;-3.72;-3.12;-252.93;128.78;-164.06;-44.46;55.21;-1.50
-1.09;1.06;1.53;-44.62;-513.67;340.76;-40.89;62.10;8.51
-0.38;-0.34;0.95;184.08;455.38;-192.93;-40.05;64.67;15.26
0.40;-3.08;-4.00;-98.27;91.00;26.79;-42.58;50.94;-8.64
-1.30;1.36;2.80;-131.96;-646.91;299.50;-38.98;64.60;11.94
-0.35;-0.40;0.92;150.88;466.00;-197.02;-39.56;64.73;16.43
0.59;-2.68;-4.00;-206.24;115.91;-45.90;-42.79;52.49;-7.91
-1.66;0.17;1.55;-97.60;-652.16;325.26;-41.35;63.21;9.64
-0.34;-0.12;1.14;158.69;410.03;-193.79;-38.62;64.83;15.44
0.14;-1.63;-2.87;-9.03;376.65;-151.49;-43.73;53.08;-5.53
-0.65;-0.98;0.26;-23.86;-567.02;153.56;-43.91;59.05;4.25
-0.36;0.43;3.14;87.34;192.20;-31.74;-32.20;66.44;28.56
-0.48;-0.19;-0.99;72.75;545.90;-1.71;-42.91;59.36;9.20
-0.50;-0.56;-1.65;-190.37;-560.79;100.89;-44.29;56.99;0.39
-0.84;2.38;4.00;-6.59;-234.19;30.03;-32.14;71.87;24.60
-0.50;-0.30;0.39;164.12;497.56;-155.21;-45.14;59.29;8.08
0.22;-1.42;-3.00;-78.31;-189.76;109.07;-44.62;48.71;-11.27
-0.66;0.29;1.83;-129.58;-524.48;245.67;-42.32;64.01;15.54
-0.17;-0.06;1.49;105.96;347.35;-189.21;-43.80;62.37;13.11
0.11;-1.05;-1.93;-33.39;243.29;-179.69;-47.51;45.92;-9.96
-0.20;-0.83;0.01;-91.80;-388.85;233.52;-50.12;52.14;2.92
-0.42;1.78;3.98;27.77;145.51;-212.89;-44.49;64.15;19.25
-0.02;-0.87;-1.19;127.44;302.98;-266.66;-55.59;39.98;0.98
-0.08;-0.61;1.00;-91.98;-358.58;-95.52;-60.63;24.00;18.95
